1,205.883350992
2,147.633238173
10,109.287672615
12,105.781503868
14,104.47252717
16,102.93026309
18,104.389788818
20,102.392491198
22,100.796175432
24,101.226466656
26,99.6831629753
28,100.045135593
30,100.664961576
33,101.520125437
36,100.425835419
39,102.814259624
42,102.530580521
45,100.364756393
48,99.3365027905
51,102.463017321
54,104.099085903
57,103.823548412
60,102.097738409
64,104.846592188
68,102.564432287
72,102.089096022
76,100.93231802
80,101.804450417
85,104.610676003
90,104.494306231
95,102.132661724
100,102.492274189
