1,233.974676847
2,163.119077969
10,119.858180428
12,120.424367666
14,118.939243364
16,121.363132668
18,117.805396557
20,113.758615541
22,113.113573647
24,119.329299593
26,116.997856188
28,115.948710251
30,114.1973382
33,113.011792278
36,108.77564187
39,106.790889502
42,108.793162823
45,113.943104172
48,115.790523195
51,123.694558477
54,117.91860218
57,117.486599445
60,118.038499069
64,121.966649055
68,124.814112711
72,116.683079624
76,113.517831612
80,113.487636328
85,122.457815218
90,119.503117418
95,121.635881805
100,119.117293787
