1,240.595404148,225.161010981,187.583325863,194.157438993,181.919574976
2,154.644036055,164.31221199,142.310859919,139.354817867,137.544265032
10,111.459675074,112.309375048,110.780418873,108.055794001,103.83310008
12,109.692186117,109.087886095,106.723340988,102.521165133,100.882941008
14,112.052105904,100.716326952,106.183300018,101.153348923,102.257554054
16,111.848225117,99.8099181652,104.085524082,101.278532982,97.6291151047
18,118.689038038,100.743674994,102.224450111,101.430876017,98.860904932
20,109.393865108,98.9056868553,102.621091127,103.287050009,97.754762888
22,107.663407087,99.4420540333,98.5635859966,100.405780077,97.9060499668
24,110.262984037,101.436664104,98.5997130871,98.517398119,97.3155739307
26,101.537178993,99.8611087799,98.4518949986,97.5601520538,101.005480051
28,105.018699884,98.8572721481,100.69173193,97.7832820415,97.8746919632
30,106.666831017,100.923081875,98.8139739037,98.6868391037,98.2340819836
33,105.864263058,100.501660109,99.0546879768,102.813101053,99.3669149876
36,104.243635893,100.609763145,99.112967968,99.876458168,98.2863519192
39,115.161795855,103.418654919,99.1056041718,98.1888151169,98.1964280605
42,108.904707909,105.362046957,98.783520937,99.0157258511,100.586900949
45,101.673515081,100.655160904,103.028332949,98.2849459648,98.1818270683
48,103.416302919,99.1621420383,98.6823089123,97.4860041142,97.9357559681
51,107.187569857,100.5770998,101.115342855,105.053750992,98.3813230991
54,118.526456833,100.553135872,101.118000984,99.2794868946,101.018348932
57,115.561030149,105.086805105,100.264366865,99.0747408867,99.1307990551
60,105.212232113,102.295591831,102.631591082,98.4472060204,101.902070999
64,119.126494169,103.705476999,103.653068066,99.1628298759,98.5850918293
68,111.983402014,103.148094893,100.950410843,98.5427548885,98.1974987984
72,106.94730711,101.885006905,100.750735998,101.861512899,99.0009171963
76,103.219244003,103.116661072,101.753283024,98.0172891617,98.5551128387
80,104.746281862,105.169350147,100.803527117,98.8889420033,99.4141509533
85,106.984073877,101.920150042,99.8125388622,99.921143055,114.415474176
90,106.337092161,110.412855864,102.505247116,102.47536397,100.740972042
95,107.818551064,103.727260828,99.0338528156,99.0562469959,101.027396917
100,107.165128946,100.073273182,99.8497769833,107.200431824,98.1727600098
